Visitor,Home,Winner
Charlotte Hornets,Atlanta Hawks,Atlanta Hawks
Oklahoma City Thunder,Boston Celtics,Boston Celtics
Orlando Magic,Milwaukee Bucks,Milwaukee Bucks
Memphis Grizzlies,Minnesota Timberwolves,Minnesota Timberwolves
Philadelphia 76ers,Portland Trail Blazers,Portland Trail Blazers
Utah Jazz,Sacramento Kings,Utah Jazz
Dallas Mavericks,Los Angeles Clippers,Los Angeles Clippers
Los Angeles Lakers,Detroit Pistons,Los Angeles Lakers
New York Knicks,Chicago Bulls,Chicago Bulls
Denver Nuggets,Phoenix Suns,Phoenix Suns
Toronto Raptors,Golden State Warriors,Golden State Warriors
Brooklyn Nets,Cleveland Cavaliers,Brooklyn Nets
Charlotte Hornets,Washington Wizards,Charlotte Hornets
Oklahoma City Thunder,Atlanta Hawks,Atlanta Hawks
Houston Rockets,Boston Celtics,Boston Celtics
Indiana Pacers,Chicago Bulls,Indiana Pacers
Orlando Magic,Milwaukee Bucks,Milwaukee Bucks
Minnesota Timberwolves,New Orleans Pelicans,Minnesota Timberwolves
Phoenix Suns,San Antonio Spurs,Phoenix Suns
Memphis Grizzlies,Utah Jazz,Memphis Grizzlies
Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers
Miami Heat,Detroit Pistons,Miami Heat
Los Angeles Lakers,New York Knicks,New York Knicks
Denver Nuggets,Portland Trail Blazers,Portland Trail Blazers
Dallas Mavericks,Los Angeles Clippers,Dallas Mavericks
Phoenix Suns,Cleveland Cavaliers,Phoenix Suns
Los Angeles Lakers,Indiana Pacers,Los Angeles Lakers
Charlotte Hornets,Orlando Magic,Charlotte Hornets
Brooklyn Nets,Boston Celtics,Brooklyn Nets
Chicago Bulls,Houston Rockets,Houston Rockets
Toronto Raptors,Memphis Grizzlies,Toronto Raptors
Detroit Pistons,Milwaukee Bucks,Milwaukee Bucks
Miami Heat,Minnesota Timberwolves,Minnesota Timberwolves
Washington Wizards,New Orleans Pelicans,New Orleans Pelicans
Utah Jazz,Oklahoma City Thunder,Utah Jazz
Atlanta Hawks,San Antonio Spurs,Atlanta Hawks
Philadelphia 76ers,Golden State Warriors,Golden State Warriors
Portland Trail Blazers,Sacramento Kings,Sacramento Kings
Detroit Pistons,Los Angeles Clippers,Los Angeles Clippers
Minnesota Timberwolves,Charlotte Hornets,Charlotte Hornets
Phoenix Suns,New York Knicks,Phoenix Suns
Chicago Bulls,Orlando Magic,Chicago Bulls
Toronto Raptors,Indiana Pacers,Indiana Pacers
Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks
Washington Wizards,Oklahoma City Thunder,Washington Wizards
Boston Celtics,San Antonio Spurs,San Antonio Spurs
Milwaukee Bucks,Denver Nuggets,Milwaukee Bucks
New Orleans Pelicans,Utah Jazz,New Orleans Pelicans
Portland Trail Blazers,Golden State Warriors,Golden State Warriors
Sacramento Kings,Los Angeles Lakers,Sacramento Kings
Minnesota Timberwolves,Philadelphia 76ers,Minnesota Timberwolves
New York Knicks,Atlanta Hawks,New York Knicks
Phoenix Suns,Brooklyn Nets,Phoenix Suns
Miami Heat,Chicago Bulls,Miami Heat
